quest_id,name,type,difficulty_min,difficulty_max,reward_min,reward_max,success_notoriety,failure_notoriety,expiration,is_chain_root,next_in_chain,next_if_failure,success_text,failure_text,can_be_retried
1,Plunder the Sunken Ghost Ship,treasure,3,5,200,300,3,2,10,0,2,-1,,,
2,Hunt the Giant Squid,combat,4,5,300,400,3,2,10,0,-1,-1,,,
3,Deliver the Cursed Chest,delivery,2,3,500,600,3,2,10,0,-1,-1,,,
4,Rescue the Stranded Pirate,rescue,1,3,20,80,3,2,10,0,1,-1,,,
5,Raid the Merchant Convoy,combat,3,4,150,250,3,2,10,0,15,-1,,,
6,Find the Lost Map Fragment,exploration,1,2,30,70,3,2,10,0,16,-1,,,
7,Defeat the Kraken,combat,4,5,300,500,3,2,10,0,-1,-1,,,
8,Smuggle Mysterious Barrels to Port Royale,smuggling,2,4,100,200,3,2,10,0,18,-1,,,
9,Retrieve the Captain's Hat,fetch,1,3,10,50,3,2,10,0,19,-1,,,
10,Explore the Sunken Temple,exploration,3,5,120,280,3,2,10,0,6,-1,,,
11,Capture the Rival Captain,combat,3,5,180,320,3,2,10,0,18,-1,,,
12,Steal the Governor's Gold,theft,4,5,250,400,3,2,10,0,-1,-1,,,
13,Chart the Uncharted Waters,exploration,2,4,80,180,3,2,10,1,20,-1,,,
14,Escort the Merchant Ship,escort,2,3,60,140,3,2,10,0,3,-1,,,
15,Take the Ship's Manifest to an Expert,delivery,2,3,50,100,3,2,10,0,14,-1,,,
16,Recover the Ancient Relic,treasure,3,4,150,270,3,2,10,0,7,-1,,,
17,Steal the Mermaid's Necklace,theft,2,4,90,160,3,2,10,0,-1,-1,,,
18,Sink the Pirate Hunter's Ship,combat,4,5,220,350,3,2,10,0,12,-1,,,
19,Deliver the Secret Message,delivery,1,2,40,100,3,2,10,0,8,-1,,,
20,Investigate the Strange Cliffs,exploration,2,3,130,150,3,2,10,0,25,-1,,,
21,Explore Parrot's Peak Island,exploration,1,2,80,180,3,2,10,1,9,-1,,,
22,Look for Merchant Routes,exploration,2,3,120,280,3,2,10,1,5,-1,,,
23,Sail the Foggy Waters,exploration,1,3,120,280,3,2,10,1,10,-1,,,
24,Explore the Galleon's Shipwreck,exploration,1,3,120,280,3,2,10,1,4,-1,,,
25,Hunt the Red Eyed Monster,combat,4,5,200,400,1,1,10,0,17,-1,,,